80,Laos,236.8,menys de 250.000 km quadrats,,,,,,
81,Uganda,236.04,menys de 250.000 km quadrats,,,,,,
82,Guyana,214.97,menys de 250.000 km quadrats,,,,,,
83,Bielorússia,207.6,menys de 250.000 km quadrats,,,,,,
84,Kirguizistan,198.5,menys de 250.000 km quadrats,,,,,,
85,Senegal,196.19,menys de 250.000 km quadrats,,,,,,
86,Síria,185.18,menys de 250.000 km quadrats,,,,,,
87,Cambodja,181.04,menys de 250.000 km quadrats,,,,,,
88,Uruguai,176.22,menys de 250.000 km quadrats,,,,,,
89,Tunísia,163.61,menys de 250.000 km quadrats,,,,,,
90,Surinam,163.27,menys de 250.000 km quadrats,,,,,,
91,Bangla Desh,144,menys de 250.000 km quadrats,,,,,,
92,Tadjikistan,143.1,menys de 250.000 km quadrats,,,,,,
93,Nepal,140.8,menys de 250.000 km quadrats,,,,,,
94,Grècia,131.94,menys de 250.000 km quadrats,,,,,,
95,Nicaragua,129.494,menys de 250.000 km quadrats,,,,,,
96,Eritrea,121.32,menys de 250.000 km quadrats,,,,,,
97,Corea del Nord,120.54,menys de 250.000 km quadrats,,,,,,
98,Malawi,118.48,menys de 250.000 km quadrats,,,,,,
99,Benín,112.62,menys de 250.000 km quadrats,,,,,,
100,Hondures,112.09,menys de 250.000 km quadrats,,,,,,
101,Libèria,111.37,menys de 250.000 km quadrats,,,,,,
102,Bulgària,110.91,menys de 250.000 km quadrats,,,,,,
103,Guatemala,108.89,menys de 250.000 km quadrats,,,,,,
104,Islàndia,103,menys de 250.000 km quadrats,,,,,,
105,Sèrbia i Montenegro,102.173,menys de 250.000 km quadrats,,,,,,
106,Cuba,100.86,menys de 250.000 km quadrats,,,,,,
107,Corea del Sud,98.48,menys de 100.000 km quadrats,,,,,,
108,Hongria,93.03,menys de 100.000 km quadrats,,,,,,
109,Portugal,88.941,menys de 100.000 km quadrats,,,,,,
110,Jordània,92.3,menys de 100.000 km quadrats,,,,,,
111,Azerbaidjan,86.6,menys de 100.000 km quadrats,,,,,,
112,Àustria,83.858,menys de 100.000 km quadrats,,,,,,
113,Emirats Àrabs Units,82.88,menys de 100.000 km quadrats,,,,,,
114,República Txeca,78.866,menys de 100.000 km quadrats,,,,,,
115,Panamà,78.2,menys de 100.000 km quadrats,,,,,,
116,Sierra Leone,71.74,menys de 100.000 km quadrats,,,,,,
117,República d'Irlanda,70.273,menys de 100.000 km quadrats,,,,,,
118,Geòrgia,69.7,menys de 100.000 km quadrats,,,,,,
119,Sri Lanka,65.61,menys de 100.000 km quadrats,,,,,,
120,Lituània,65.2,menys de 100.000 km quadrats,,,,,,
121,Letònia,64.589,menys de 100.000 km quadrats,,,,,,
122,Togo,56.785,menys de 100.000 km quadrats,,,,,,
123,Croàcia,56.542,menys de 100.000 km quadrats,,,,,,
124,Bòsnia i Hercegovina,51.129,menys de 100.000 km quadrats,,,,,,
125,Costa Rica,51.1,menys de 100.000 km quadrats,,,,,,
126,Eslovàquia,48.845,menys de 50.000 km quadrats,,,,,,
127,República Dominicana,48.73,menys de 50.000 km quadrats,,,,,,
128,Bhutan,47,menys de 50.000 km quadrats,,,,,,
129,Estònia,45.226,menys de 50.000 km quadrats,,,,,,
130,Dinamarca,43.094,menys de 50.000 km quadrats,,,,,,
131,| Països Baixos,41.526,menys de 50.000 km quadrats,,,,,,
132,Suïssa,41.29,menys de 50.000 km quadrats,,,,,,
133,Guinea Bissau,36.12,menys de 50.000 km quadrats,,,,,,
135,Moldàvia,33.843,menys de 50.000 km quadrats,,,,,,
136,Bèlgica,30.528,menys de 50.000 km quadrats,,,,,,
137,Lesotho,30.355,menys de 50.000 km quadrats,,,,,,
138,Armènia,29.8,menys de 50.000 km quadrats,,,,,,
139,Albània,28.748,menys de 50.000 km quadrats,,,,,,
140,Salomó,28.45,menys de 50.000 km quadrats,,,,,,
141,Guinea Equatorial,28.051,menys de 50.000 km quadrats,,,,,,
142,Burundi,27.83,menys de 50.000 km quadrats,,,,,,
143,Haití,27.75,menys de 50.000 km quadrats,,,,,,
144,Rwanda,26.338,menys de 50.000 km quadrats,,,,,,
145,Macedònia,25.333,menys de 50.000 km quadrats,,,,,,
146,Belize,22.966,menys de 25.000 km quadrats,,,,,,
147,Djibouti,22,menys de 25.000 km quadrats,,,,,,
148,El Salvador,21.04,menys de 25.000 km quadrats,,,,,,
149,Israel,20.77,menys de 25.000 km quadrats,,,,,,
150,Eslovènia,20.253,menys de 25.000 km quadrats,,,,,,
151,Fiji,18.27,menys de 25.000 km quadrats,,,,,,
152,Kuwait,17.82,menys de 25.000 km quadrats,,,,,,
153,Swazilàndia,17.363,menys de 25.000 km quadrats,,,,,,
154,Timor Oriental,14.874,menys de 25.000 km quadrats,,,,,,
155,Bahames,13.94,menys de 25.000 km quadrats,,,,,,
156,Vanuatu,12.2,menys de 25.000 km quadrats,,,,,,
157,Qatar,11.437,menys de 25.000 km quadrats,,,,,,
158,Gàmbia,11.3,menys de 25.000 km quadrats,,,,,,
159,Jamaica,10.99,menys de 25.000 km quadrats,,,,,,
160,Líban,10.452,menys de 25.000 km quadrats,,,,,,
161,Xipre,9.25,menys de 25.000 km quadrats,,,,,,
162,Brunei,5.77,menys de 25.000 km quadrats,,,,,,
163,Trinitat i Tobago,5.128,menys de 25.000 km quadrats,,,,,,
164,Cap Verd,4.033,menys de 25.000 km quadrats,,,,,,
165,Samoa Occidental,2.86,menys de 25.000 km quadrats,,,,,,
166,Luxemburg,2.586,menys de 25.000 km quadrats,,,,,,
167,Comores,2.17,menys de 25.000 km quadrats,,,,,,
168,Maurici,1.86,menys de 25.000 km quadrats,,,,,,
169,São Tomé i Príncipe,1.001,menys de 25.000 km quadrats,,,,,,
170,Dominica,754,menys de 1.000 km quadrats,,,,,,
171,Tonga,748,menys de 1.000 km quadrats,,,,,,
172,Kiribati,717,menys de 1.000 km quadrats,,,,,,
173,Singapur,707,menys de 1.000 km quadrats,,,,,,
174,Estats Federats de Micronèsia,702,menys de 1.000 km quadrats,,,,,,
175,Bahrain,665,menys de 1.000 km quadrats,,,,,,
176,Saint Lucia,620,menys de 1.000 km quadrats,,,,,,
177,Seychelles,455,menys de 1.000 km quadrats,,,,,,
178,Andorra,468,menys de 1.000 km quadrats,,,,,,
179,Palau,458,menys de 1.000 km quadrats,,,,,,
180,Antigua i Barbuda,442,menys de 1.000 km quadrats,,,,,,
181,Barbados,430,menys de 1.000 km quadrats,,,,,,
182,Saint Vincent i les Grenadines,389,menys de 1.000 km quadrats,,,,,,
183,Grenada,340,menys de 1.000 km quadrats,,,,,,
184,Malta,316,menys de 1.000 km quadrats,,,,,,
185,Maldives,300,menys de 1.000 km quadrats,,,,,,
186,Saint Kitts i Nevis,261,menys de 1.000 km quadrats,,,,,,
187,Illes Marshall,181,menys de 1.000 km quadrats,,,,,,
188,Liechtenstein,160,menys de 1.000 km quadrats,,,,,,
189,San Marino,61,menys de 1.000 km quadrats,,,,,,
190,Tuvalu,26,menys de 1.000 km quadrats,,,,,,
191,Nauru,21,menys de 1.000 km quadrats,,,,,,
192,Mònaco,1,menys de 1.000 km quadrats,,,,,,
193,Ciutat del Vaticà,0,menys de 1.000 km quadrats,,,,,,
